seed,condition,Wcc,Wuc,Wuu,S1,retention_mean,retrieval_mean,replay_events
42,FULL,0.09025757014751434,0.03607362508773804,0.017787672579288483,0.054183945059776306,0.3057665566448122,0.043750000000000004,45
42,WCC_WEAKEN,0.04512878507375717,0.03607362508773804,0.017787672579288483,0.009055159986019135,0.295804085501004,0.037500000000000006,45
42,WCC_DESTROY,0.0,0.03607362508773804,0.017787672579288483,-0.03607362508773804,0.28525751538109034,0.03125,45
42,WCC_ENHANCE,0.13538634777069092,0.03607362508773804,0.017787672579288483,0.09931272268295288,0.3181450982228853,0.03125,45
1042,FULL,0.06361368298530579,0.022434161975979805,0.008510801941156387,0.04117952100932598,0.2811212114756927,0.0375,46
1042,WCC_WEAKEN,0.03180684149265289,0.022434161975979805,0.008510801941156387,0.009372679516673088,0.2776550142443739,0.03125,46
1042,WCC_DESTROY,0.0,0.022434161975979805,0.008510801941156387,-0.022434161975979805,0.2716171081410721,0.049999999999999996,46
1042,WCC_ENHANCE,0.09542052447795868,0.022434161975979805,0.008510801941156387,0.07298636250197887,0.28864525706740096,0.00625,46
2042,FULL,0.06258402019739151,0.01972891390323639,0.008930103853344917,0.04285510629415512,0.28520973352715373,0.037500000000000006,46
2042,WCC_WEAKEN,0.031292010098695755,0.01972891390323639,0.008930103853344917,0.011563096195459366,0.2783025500830263,0.06249999999999999,46
2042,WCC_DESTROY,0.0,0.01972891390323639,0.008930103853344917,-0.01972891390323639,0.2726800957461819,0.04375,46
2042,WCC_ENHANCE,0.09387603402137756,0.01972891390323639,0.008930103853344917,0.07414712011814117,0.29384295793715864,0.03125,46
3042,FULL,0.0625767782330513,0.018959147855639458,0.008148973807692528,0.04361763037741184,0.2737766487407498,0.0625,45
3042,WCC_WEAKEN,0.03128838911652565,0.018959147855639458,0.008148973807692528,0.012329241260886192,0.2642094252514653,0.0625,45
3042,WCC_DESTROY,0.0,0.018959147855639458,0.008148973807692528,-0.018959147855639458,0.25692507717758417,0.03125,45
3042,WCC_ENHANCE,0.09386516362428665,0.018959147855639458,0.008148973807692528,0.0749060157686472,0.28307340235915035,0.0625,45
4042,FULL,0.06643249094486237,0.023098185658454895,0.009033837355673313,0.04333430528640747,0.2964428677223623,0.0125,45
4042,WCC_WEAKEN,0.03321624547243118,0.023098185658454895,0.009033837355673313,0.010118059813976288,0.28870988107519224,0.0625,45
4042,WCC_DESTROY,0.0,0.023098185658454895,0.009033837355673313,-0.023098185658454895,0.283390840922948,0.037500000000000006,45
4042,WCC_ENHANCE,0.09964872151613235,0.023098185658454895,0.009033837355673313,0.07655053585767746,0.30898964317748323,0.025,45
