seed,probe_fraction,memory_id,encoding_position,isyn_score,w_slow,w_fast,assembly_w_fast,gamma0_retention,elapsed_seconds
42,0.0,0,0,0.03606234676044551,0.0312829352915287,0.0666305273771286,0.06476133316755295,0.02400132082402706,776.9179074764252
42,0.0,1,1,0.02958618852426298,0.028470676392316818,0.060573820024728775,0.06356760859489441,0.018258074684126768,776.9179074764252
42,0.0,2,2,0.03420256733079441,0.027491401880979538,0.07610373944044113,0.09066857397556305,0.026423317365697585,776.9179074764252
42,0.0,3,3,0.056437058141455054,0.03376280888915062,0.14350536465644836,0.135139599442482,0.06116547146302764,776.9179074764252
42,0.5,0,0,0.10478176473407075,0.11810416728258133,0.06743528693914413,0.06523047387599945,,798.7312023639679
42,0.5,1,1,0.07433360748109408,0.08165370672941208,0.06065211072564125,0.06404934823513031,,798.7312023639679
42,0.5,2,2,0.06643337820423767,0.07709748297929764,0.07507934421300888,0.07375116646289825,,798.7312023639679
42,0.5,3,3,0.0544594387174584,0.031746722757816315,0.1375192552804947,0.13431033492088318,,798.7312023639679
42,1.0,0,0,0.17393033381085843,0.2056654840707779,0.06788242608308792,0.06732232123613358,,835.3351435661316
42,1.0,1,1,0.10817319696070626,0.1297091394662857,0.06090034171938896,0.06349284201860428,,835.3351435661316
42,1.0,2,2,0.07373268809169531,0.07944759726524353,0.0754956603050232,0.07427119463682175,,835.3351435661316
42,1.0,3,3,0.05592717052786611,0.03147674351930618,0.13955722749233246,0.14151865243911743,,835.3351435661316
