seed,probe_fraction,memory_id,encoding_position,isyn_score,w_slow,w_fast,assembly_w_fast,gamma0_retention,elapsed_seconds
42.0,0.0,0.0,0.0,0.0360623467604455,0.0312829352915287,0.0666305273771286,0.0647613331675529,0.024001320824027,777.9977593421936
42.0,0.0,1.0,1.0,0.0295861885242629,0.0284706763923168,0.0605738200247287,0.0635676085948944,0.0182580746841267,777.9977593421936
42.0,0.0,2.0,2.0,0.0342025673307944,0.0274914018809795,0.0761037394404411,0.090668573975563,0.0264233173656975,777.9977593421936
42.0,0.0,3.0,3.0,0.056437058141455,0.0337628088891506,0.1435053646564483,0.135139599442482,0.0611654714630276,777.9977593421936
42.0,0.1,0.0,0.0,0.0551471696235239,0.0561728402972221,0.0686099007725715,0.0678031370043754,,759.1907722949982
42.0,0.1,1.0,1.0,0.0353188396547921,0.0345703437924385,0.061524711549282,0.0638061165809631,,759.1907722949982
42.0,0.1,2.0,2.0,0.0339496897067874,0.0343793407082557,0.0723275542259216,0.0773466452956199,,759.1907722949982
42.0,0.1,3.0,3.0,0.0603974918485619,0.0318778008222579,0.1418898105621338,0.1600136309862136,,759.1907722949982
42.0,0.25,0.0,0.0,0.0717428507050499,0.0767018571496009,0.0676216557621955,0.0675535798072815,,779.7951292991638
42.0,0.25,1.0,1.0,0.05040628334973,0.0540703050792217,0.0605102255940437,0.0641752704977989,,779.7951292991638
42.0,0.25,2.0,2.0,0.0411593767639715,0.0430215783417224,0.074998639523983,0.0839964225888252,,779.7951292991638
42.0,0.25,3.0,3.0,0.057636181009002,0.0307826921343803,0.1367333084344864,0.1547272503376007,,779.7951292991638
42.0,0.5,0.0,0.0,0.1048992277355864,0.1174534559249877,0.0671390146017074,0.065731406211853,,803.2630565166473
42.0,0.5,1.0,1.0,0.0773364605847746,0.0885201692581176,0.0607422515749931,0.0644615441560745,,803.2630565166473
42.0,0.5,2.0,2.0,0.0551849507028237,0.0620520710945129,0.0752511993050575,0.074561595916748,,803.2630565166473
42.0,0.5,3.0,3.0,0.0546958007325883,0.0315630994737148,0.1363594830036163,0.13403981924057,,803.2630565166473
42.0,0.75,0.0,0.0,0.1371148914913647,0.1553110778331756,0.0675187483429908,0.0663424655795097,,803.9349548816681
42.0,0.75,1.0,1.0,0.0834985972614958,0.0956808999180793,0.0618661642074584,0.0643416345119476,,803.9349548816681
42.0,0.75,2.0,2.0,0.0706189454067498,0.0802410840988159,0.0758826732635498,0.0703878104686737,,803.9349548816681
42.0,0.75,3.0,3.0,0.0576496209250763,0.0313560999929904,0.1339102983474731,0.1451504826545715,,803.9349548816681
42.0,1.0,0.0,0.0,0.1634667394682765,0.1889606565237045,0.0686050057411193,0.0670087561011314,,802.7428340911865
42.0,1.0,1.0,1.0,0.1143232092726975,0.1391309052705764,0.0608883537352085,0.0635800212621688,,802.7428340911865
42.0,1.0,2.0,2.0,0.0978778701974079,0.1107641234993934,0.0779143795371055,0.0722496807575225,,802.7428340911865
42.0,1.0,3.0,3.0,0.0535746877139899,0.0315858833491802,0.1384721994400024,0.1296540647745132,,802.7428340911865
1042.0,0.0,0.0,0.0,0.0213022082753013,0.0295367799699306,0.060078490525484,0.0272101089358329,0.002250540535897,787.9824805259705
1042.0,0.0,1.0,1.0,0.0222646146867191,0.0293602850288152,0.0226900018751621,0.0205268375575542,0.0036625151988118,787.9824805259705
1042.0,0.0,2.0,2.0,0.0299781657522544,0.028008185327053,0.0531970523297786,0.0720976665616035,0.0188002698123455,787.9824805259705
1042.0,0.0,3.0,3.0,0.0505536207056138,0.0318887867033481,0.101236842572689,0.1060575768351554,0.0481482855975627,787.9824805259705
1042.0,0.1,0.0,0.0,0.0391481228871271,0.0516960769891738,0.0323039926588535,0.0116597460582852,,783.0710334777832
1042.0,0.1,1.0,1.0,0.0285830922657623,0.0377856343984603,0.0211077164858579,0.0141770308837294,,783.0710334777832
1042.0,0.1,2.0,2.0,0.0263223559595644,0.0260142870247364,0.0471373982727527,0.0638550296425819,,783.0710334777832
1042.0,0.1,3.0,3.0,0.0486759148479905,0.0294170901179313,0.0904122218489646,0.1028040200471878,,783.0710334777832
1042.0,0.25,0.0,0.0,0.0552775593241676,0.071917675435543,0.0326420329511165,0.0191533733159303,,777.7468483448029
1042.0,0.25,1.0,1.0,0.0458905271661933,0.0558437705039978,0.0218769330531358,0.0222504194825887,,777.7468483448029
1042.0,0.25,2.0,2.0,0.0437677128647919,0.0441759899258613,0.0462964996695518,0.0516922920942306,,777.7468483448029
1042.0,0.25,3.0,3.0,0.0500948148401221,0.0297373030334711,0.0938732475042343,0.1103488579392433,,777.7468483448029
1042.0,0.5,0.0,0.0,0.0884899122174829,0.1121136620640754,0.0298646371811628,0.0285128038376569,,912.8447332382202
1042.0,0.5,1.0,1.0,0.0726141936611384,0.0892319977283477,0.0230192802846431,0.0213907919824123,,912.8447332382202
1042.0,0.5,2.0,2.0,0.0414898474700748,0.0440038107335567,0.0501271821558475,0.0591910853981971,,912.8447332382202
1042.0,0.5,3.0,3.0,0.0488052222935948,0.0295635946094989,0.0913299769163131,0.1034730672836303,,912.8447332382202
1042.0,0.75,0.0,0.0,0.1125902056228369,0.1407085359096527,0.0324392281472682,0.0203317496925592,,974.2704818248748
1042.0,0.75,1.0,1.0,0.0849982788786292,0.1072079092264175,0.0238149706274271,0.016802255064249,,974.2704818248748
1042.0,0.75,2.0,2.0,0.0751263102283701,0.0854512453079223,0.0441671386361122,0.0594870671629905,,974.2704818248748
1042.0,0.75,3.0,3.0,0.0472642692329827,0.0291542131453752,0.0914173349738121,0.1003925576806068,,974.2704818248748
1042.0,1.0,0.0,0.0,0.1576825091615319,0.1959759891033172,0.0271162278950214,0.0166841093450784,,962.0608468055724
1042.0,1.0,1.0,1.0,0.1159894278971478,0.133446529507637,0.0207439325749874,0.0190189350396394,,962.0608468055724
1042.0,1.0,2.0,2.0,0.0813617965904995,0.0877847895026207,0.0511617809534072,0.0729357525706291,,962.0608468055724
1042.0,1.0,3.0,3.0,0.0490988256860873,0.029088769108057,0.0918503329157829,0.1110209003090858,,962.0608468055724
2042.0,0.0,0.0,0.0,0.0243733859460917,0.0273606125265359,0.0703753009438514,0.0541744753718376,0.006120853126049,801.6933388710022
2042.0,0.0,1.0,1.0,0.0343955376883968,0.0310179479420185,0.0241804104298353,0.0270555578172206,0.0048343199305236,801.6933388710022
2042.0,0.0,2.0,2.0,0.0272221519335289,0.0288201663643121,0.0436708070337772,0.0492043681442737,0.0121614020317792,801.6933388710022
2042.0,0.0,3.0,3.0,0.0473792063130531,0.0307840593159198,0.1052596047520637,0.1104171276092529,0.0500016994774341,801.6933388710022
2042.0,0.1,0.0,0.0,0.0433542708633467,0.0502144545316696,0.0365611016750335,0.0278991553932428,,731.6039438247681
2042.0,0.1,1.0,1.0,0.0372862817603163,0.0376824550330638,0.0257202237844467,0.0319959297776222,,731.6039438247681
2042.0,0.1,2.0,2.0,0.029477130039595,0.0348833575844764,0.0450609289109706,0.0459990836679935,,731.6039438247681
2042.0,0.1,3.0,3.0,0.0444755790958879,0.0289584770798683,0.0989930927753448,0.0975460708141326,,731.6039438247681
2042.0,0.25,0.0,0.0,0.0588645690586417,0.0696375891566276,0.0358852446079254,0.0428481921553611,,792.5507047176361
