seed,event_idx,memory_idx,mean_coherence,peak_coherence,smooth_coh_last,n_coh_steps,stdp_calls,pot_updates,dep_updates
42,0,0,0.14754143357276917,0.24882608652114868,0.07358488714845605,0,0,0,0
42,1,0,0.10244397819042206,0.25653424859046936,0.0,0,0,0,0
42,2,0,0.1464427411556244,0.2544477581977844,0.07025034991031642,0,0,0,0
42,3,0,0.09936165809631348,0.251525342464447,0.0,0,0,0,0
42,4,0,0.14327643811702728,0.24528296291828156,0.07358488714845605,0,0,0,0
42,5,0,0.09620250761508942,0.24050626158714294,0.0,0,0,0,0
42,6,0,0.04905659332871437,0.24528296291828156,0.07358488714845605,0,0,0,0
42,7,0,0.049999989569187164,0.24999994039535522,0.0,0,0,0,0
42,8,0,0.10188333690166473,0.259416788816452,0.0,0,0,0,0
42,9,0,0.049999989569187164,0.24999994039535522,0.0,0,0,0,0
42,10,0,0.049999989569187164,0.24999994039535522,0.07499998125000468,0,0,0,0
42,11,0,0.0,0.0,0.0,0,0,0,0
42,12,0,0.049999989569187164,0.24999994039535522,0.0,0,0,0,0
42,13,0,0.049999989569187164,0.24999994039535522,0.0,0,0,0,0
42,14,0,0.051883358508348465,0.259416788816452,0.0,0,0,0,0
42,15,0,0.1427735835313797,0.15542517602443695,0.12132859706880872,0,0,0,0
42,16,1,0.053534649312496185,0.14845936000347137,0.0,0,0,0,0
42,17,0,0.025665849447250366,0.12832924723625183,0.0,0,0,0,0
42,18,1,0.0,0.0,0.0,0,0,0,0
42,19,1,0.0,0.0,0.0,0,0,0,0
42,20,0,0.0,0.0,0.0,0,0,0,0
42,21,1,0.0,0.0,0.0,0,0,0,0
42,22,1,0.0,0.0,0.0,0,0,0,0
42,23,1,0.0,0.0,0.0,0,0,0,0
42,24,1,0.0,0.0,0.0,0,0,0,0
42,25,1,0.0,0.0,0.0,0,0,0,0
42,26,1,0.0,0.0,0.0,0,0,0,0
42,27,1,0.0,0.0,0.0,0,0,0,0
42,28,1,0.0,0.0,0.0,0,0,0,0
42,29,1,0.0,0.0,0.0,0,0,0,0
42,30,0,0.08492682129144669,0.14658232033252716,0.042388095281130765,0,1,0,0
42,31,2,0.06110594421625137,0.15303173661231995,0.0,0,0,0,0
42,32,2,0.09936898946762085,0.2001776397228241,0.044643114035510426,0,0,0,0
42,33,1,0.05467076227068901,0.13808885216712952,0.0,0,0,0,0
42,34,2,0.030709151178598404,0.15354575216770172,0.0,0,0,0,0
42,35,0,0.02671479806303978,0.1335739940404892,0.0,0,0,0,0
42,36,2,0.027338126674294472,0.1366906315088272,0.04100718834428944,0,0,0,0
42,37,2,0.0,0.0,0.0,0,0,0,0
42,38,1,0.0,0.0,0.0,0,0,0,0
42,39,2,0.0,0.0,0.0,0,0,0,0
42,40,0,0.0,0.0,0.0,0,0,0,0
42,41,2,0.0,0.0,0.0,0,0,0,0
42,42,2,0.0,0.0,0.0,0,0,0,0
42,43,1,0.0,0.0,0.0,0,0,0,0
42,44,2,0.0,0.0,0.0,0,0,0,0
1042,45,0,0.25959229469299316,0.43595659732818604,0.19249843035410535,0,1,0,0
1042,46,0,0.11723203957080841,0.29699423909187317,0.0,0,0,0,0
1042,47,0,0.14598819613456726,0.2524733543395996,0.07499998125000468,0,0,0,0
1042,48,0,0.05201961472630501,0.26009806990623474,0.0,0,0,0,0
1042,49,0,0.0,0.0,0.0,0,0,0,0
1042,50,0,0.0,0.0,0.0,0,0,0,0
1042,51,0,0.0,0.0,0.0,0,0,0,0
1042,52,0,0.0,0.0,0.0,0,0,0,0
1042,53,0,0.0,0.0,0.0,0,0,0,0
1042,54,0,0.0,0.0,0.0,0,0,0,0
1042,55,0,0.0,0.0,0.0,0,0,0,0
1042,56,0,0.0,0.0,0.0,0,0,0,0
1042,57,0,0.0,0.0,0.0,0,0,0,0
1042,58,0,0.0,0.0,0.0,0,0,0,0
1042,59,0,0.0,0.0,0.0,0,0,0,0
1042,60,0,0.08382461220026016,0.14693962037563324,0.04408188715052245,0,0,0,0
1042,61,1,0.06406419724225998,0.16064347326755524,0.0,0,0,0,0
1042,62,1,0.08148791640996933,0.14402168989181519,0.03948207990762615,0,0,0,0
1042,63,1,0.05546919256448746,0.14447471499443054,0.0,0,0,0,0
1042,64,1,0.0818076878786087,0.1428571194410324,0.04285713673469475,0,0,0,0
1042,65,0,0.05590955168008804,0.1428571194410324,0.0,0,0,0,0
1042,66,1,0.05098157003521919,0.1428571194410324,0.04285713673469475,0,0,0,0
1042,67,1,0.0,0.0,0.0,0,0,0,0
1042,68,1,0.02364518493413925,0.11822592467069626,0.0,0,0,0,0
1042,69,1,0.057142846286296844,0.1428571194410324,0.0,0,0,0,0
1042,70,0,0.0,0.0,0.0,0,0,0,0
1042,71,1,0.0,0.0,0.0,0,0,0,0
1042,72,1,0.08200601488351822,0.1428571194410324,0.04285713673469475,0,0,0,0
1042,73,1,0.057142846286296844,0.1428571194410324,0.0,0,0,0,0
1042,74,0,0.026899952441453934,0.13449975848197937,0.0,0,0,0,0
1042,75,0,0.10846330970525742,0.164698526263237,0.048986532848106876,0,2,3,3
1042,76,2,0.054477013647556305,0.13675813376903534,0.0,0,0,0,0
1042,77,1,0.1006845012307167,0.19899865984916687,0.045042486155094145,0,0,0,0
1042,78,2,0.0,0.0,0.0,0,0,0,0
1042,79,2,0.0,0.0,0.0,0,0,0,0
1042,80,0,0.0,0.0,0.0,0,0,0,0
1042,81,2,0.0,0.0,0.0,0,0,0,0
1042,82,2,0.0,0.0,0.0,0,0,0,0
1042,83,2,0.0,0.0,0.0,0,0,0,0
1042,84,2,0.0,0.0,0.0,0,0,0,0
1042,85,0,0.0,0.0,0.0,0,0,0,0
1042,86,2,0.0,0.0,0.0,0,0,0,0
1042,87,1,0.0,0.0,0.0,0,0,0,0
1042,88,2,0.0,0.0,0.0,0,0,0,0
1042,89,1,0.0,0.0,0.0,0,0,0,0
2042,90,0,0.18733952939510345,0.38487792015075684,0.07893909493717255,0,1,0,0
2042,91,0,0.09953048080205917,0.24882622063159943,0.0,0,0,0,0
2042,92,0,0.15019351243972778,0.2590686082839966,0.07772058595733955,0,0,0,0
2042,93,0,0.0,0.0,0.0,0,0,0,0
2042,94,0,0.04930230230093002,0.24651150405406952,0.0,0,0,0,0
2042,95,0,0.0,0.0,0.0,0,0,0,0
2042,96,0,0.0,0.0,0.0,0,0,0,0
2042,97,0,0.0,0.0,0.0,0,0,0,0
2042,98,0,0.0,0.0,0.0,0,0,0,0
2042,99,0,0.0,0.0,0.0,0,0,0,0
2042,100,0,0.0,0.0,0.0,0,0,0,0
2042,101,0,0.0,0.0,0.0,0,0,0,0
