seed,condition,memory_id,replay_count,retention,w_slow
10042,CONTROL,2,9,0.2436020274180919,0.0547432228922843
10042,CONTROL,3,13,0.2344323133584112,0.0172983556985855
11042,CONTROL,0,11,0.2421437392476946,0.069277249276638
11042,CONTROL,1,13,0.2471604908350855,0.0813486650586128
11042,CONTROL,2,7,0.2394860985223204,0.0544358827173709
11042,CONTROL,3,14,0.2242932794615626,0.0178245529532432
12042,CONTROL,0,10,0.2565881912596524,0.0784934163093566
12042,CONTROL,1,12,0.2507671185303479,0.0656696259975433
12042,CONTROL,2,12,0.2526305399369448,0.0704006776213646
12042,CONTROL,3,12,0.2299462414812296,0.0188437979668378
13042,CONTROL,0,7,0.2355784319806844,0.0589923858642578
13042,CONTROL,1,7,0.2257903595454991,0.0443122833967208
13042,CONTROL,2,14,0.2463452201336622,0.0680152773857116
13042,CONTROL,3,17,0.2197079746983945,0.0200642924755811
14042,CONTROL,0,11,0.2405459627043455,0.0611124336719512
14042,CONTROL,1,13,0.2382261075545102,0.0723478496074676
14042,CONTROL,2,9,0.2271788504440337,0.041986159980297
14042,CONTROL,3,12,0.2166530936956405,0.0175689402967691
15042,CONTROL,0,8,0.2400657886173576,0.0659327358007431
15042,CONTROL,1,12,0.2514040365349501,0.0812880247831344
15042,CONTROL,2,11,0.2424804752226919,0.0520266443490982
15042,CONTROL,3,14,0.2229705359786749,0.0182827766984701
16042,CONTROL,0,10,0.2529399800114333,0.0702719017863273
16042,CONTROL,1,17,0.2605798707809299,0.0804855376482009
16042,CONTROL,2,9,0.2315683146007359,0.0363476425409317
16042,CONTROL,3,10,0.2339648175984621,0.0189608018845319
17042,CONTROL,0,15,0.2463349970057606,0.0781852975487709
17042,CONTROL,1,14,0.2412582994438707,0.0634194687008857
17042,CONTROL,2,10,0.224927932024002,0.038665484637022
17042,CONTROL,3,7,0.2221716160420328,0.0196735840290784
18042,CONTROL,0,12,0.2487696309108287,0.0878809913992881
18042,CONTROL,1,13,0.2512140981853008,0.0806836858391761
18042,CONTROL,2,14,0.2516943595837801,0.0717222988605499
18042,CONTROL,3,6,0.2222100663930177,0.0175046976655721
19042,CONTROL,0,11,0.2347902646288275,0.0580891333520412
19042,CONTROL,1,12,0.2420555730350315,0.0806021690368652
19042,CONTROL,2,10,0.2303345568943768,0.0539119392633438
19042,CONTROL,3,12,0.2219750420190394,0.019129030406475
42,BOOST_MEM3,0,8,0.244171850150451,0.0669737160205841
42,BOOST_MEM3,1,9,0.2353571844287216,0.0505647286772728
42,BOOST_MEM3,2,11,0.232550086453557,0.0447259806096553
42,BOOST_MEM3,3,17,0.2221336658112704,0.0192385222762823
1042,BOOST_MEM3,0,7,0.2137833316810429,0.0423644930124282
1042,BOOST_MEM3,1,14,0.2395888939499855,0.0732676014304161
1042,BOOST_MEM3,2,5,0.2171235997229814,0.0380279384553432
1042,BOOST_MEM3,3,19,0.2136452968697995,0.0177177637815475
2042,BOOST_MEM3,0,11,0.2445170823484659,0.0766671374440193
2042,BOOST_MEM3,1,8,0.2370793805457651,0.0646305009722709
2042,BOOST_MEM3,2,11,0.2469747411087155,0.0698269680142402
2042,BOOST_MEM3,3,15,0.2232173387892544,0.0184354837983846
3042,BOOST_MEM3,0,9,0.2444959285203367,0.0726918056607246
3042,BOOST_MEM3,1,9,0.2307240676600486,0.0527781397104263
3042,BOOST_MEM3,2,11,0.2450379328802228,0.0790108516812324
3042,BOOST_MEM3,3,16,0.2200809339992702,0.015479446388781
4042,BOOST_MEM3,0,12,0.2479332447983324,0.0712702572345733
4042,BOOST_MEM3,1,5,0.2237186839338392,0.0371476709842681
4042,BOOST_MEM3,2,5,0.2379928592126816,0.0435448847711086
4042,BOOST_MEM3,3,23,0.2298320119734853,0.0190831255167722
5042,BOOST_MEM3,0,10,0.2440305515192449,0.0753017961978912
5042,BOOST_MEM3,1,7,0.2337125402409583,0.0431767664849758
5042,BOOST_MEM3,2,8,0.2288412668276578,0.037099253386259
5042,BOOST_MEM3,3,20,0.225813083583489,0.0194035191088914
6042,BOOST_MEM3,0,8,0.2472388767637312,0.0840327739715576
6042,BOOST_MEM3,1,12,0.2332718265242874,0.0499695986509323
6042,BOOST_MEM3,2,8,0.2324174474924802,0.0317408815026283
6042,BOOST_MEM3,3,18,0.2274151591118425,0.0173977483063936
7042,BOOST_MEM3,0,7,0.2202664071228355,0.0413788519799709
7042,BOOST_MEM3,1,9,0.2286484397482127,0.057169135659933
7042,BOOST_MEM3,2,13,0.2431683745235204,0.0603907816112041
7042,BOOST_MEM3,3,16,0.2194569092243909,0.0203139688819646
8042,BOOST_MEM3,0,8,0.2464917658362537,0.05396468937397
8042,BOOST_MEM3,1,10,0.2485182161908596,0.0760618299245834
8042,BOOST_MEM3,2,8,0.2508406813722104,0.0595977008342742
8042,BOOST_MEM3,3,19,0.228051068726927,0.016363937407732
9042,BOOST_MEM3,0,10,0.2304945748765021,0.0799529179930687
9042,BOOST_MEM3,1,13,0.2291281668003648,0.0524243116378784
9042,BOOST_MEM3,2,6,0.2185114820022136,0.0343848690390586
9042,BOOST_MEM3,3,17,0.2159772550221532,0.0197696629911661
10042,BOOST_MEM3,0,13,0.2608081521466374,0.0911105051636695
10042,BOOST_MEM3,1,10,0.2422075443901121,0.0538513660430908
10042,BOOST_MEM3,2,8,0.2389671423006802,0.0469454154372215
10042,BOOST_MEM3,3,15,0.2330853666644543,0.0176784675568342
11042,BOOST_MEM3,0,9,0.238280335906893,0.0622321367263793
11042,BOOST_MEM3,1,4,0.2249639921355992,0.0367362387478351
11042,BOOST_MEM3,2,11,0.2479933758731931,0.0719824433326721
11042,BOOST_MEM3,3,21,0.223114144988358,0.0175218731164932
12042,BOOST_MEM3,0,11,0.2531254959758371,0.0860134959220886
12042,BOOST_MEM3,1,6,0.2407242467161268,0.0533772744238376
12042,BOOST_MEM3,2,11,0.2552859676070511,0.0806620791554451
12042,BOOST_MEM3,3,17,0.2235434635076671,0.0185369700193405
13042,BOOST_MEM3,0,8,0.2364405628759414,0.0596657805144786
13042,BOOST_MEM3,1,8,0.2286833319813013,0.0464942455291748
13042,BOOST_MEM3,2,11,0.2363216453231871,0.0514956526458263
13042,BOOST_MEM3,3,18,0.219761130400002,0.0200714189559221
14042,BOOST_MEM3,0,9,0.2281355685554444,0.0494484603404998
14042,BOOST_MEM3,1,10,0.2313478558789938,0.0568084344267845
14042,BOOST_MEM3,2,6,0.2274299757555127,0.0350098013877868
14042,BOOST_MEM3,3,20,0.2207498622592538,0.0170367676764726
15042,BOOST_MEM3,0,13,0.2415040538180619,0.0732876360416412
15042,BOOST_MEM3,1,11,0.2343615603167563,0.0547866187989711
15042,BOOST_MEM3,2,10,0.2286816665437072,0.0349910967051982
15042,BOOST_MEM3,3,11,0.2191320883575827,0.0181533861905336
16042,BOOST_MEM3,0,11,0.2381153930909931,0.0543340221047401
16042,BOOST_MEM3,1,11,0.2348296171985566,0.0532504096627235
16042,BOOST_MEM3,2,9,0.2338173582684248,0.0545326508581638
16042,BOOST_MEM3,3,14,0.2256303078029304,0.018987426534295
17042,BOOST_MEM3,0,9,0.2348853070288896,0.0622290261089801
17042,BOOST_MEM3,1,10,0.2275880246888846,0.0458719693124294
17042,BOOST_MEM3,2,12,0.2163528667297214,0.0296881813555955
17042,BOOST_MEM3,3,14,0.2201359188184142,0.0199366863816976
18042,BOOST_MEM3,0,11,0.241113478783518,0.0738391503691673
18042,BOOST_MEM3,1,10,0.2337574982084334,0.0463641546666622
18042,BOOST_MEM3,2,9,0.2370804012753069,0.0454481840133667
18042,BOOST_MEM3,3,15,0.2215844292659312,0.0178615543991327
19042,BOOST_MEM3,0,7,0.2271056317258626,0.0425808615982532
19042,BOOST_MEM3,1,7,0.2285918819252401,0.0541073903441429
19042,BOOST_MEM3,2,7,0.2305066282860934,0.0542770400643348
19042,BOOST_MEM3,3,24,0.2214745348319411,0.0188667140901088
42,SUPPRESS_MEM0,0,2,0.2334897108376026,0.0359082594513893
42,SUPPRESS_MEM0,1,15,0.2591556161642074,0.0842511355876922
42,SUPPRESS_MEM0,2,16,0.2627154921647161,0.0927127376198768
42,SUPPRESS_MEM0,3,12,0.2272295649163425,0.0190189201384782
1042,SUPPRESS_MEM0,0,0,0.2088040506932884,0.029651902616024
1042,SUPPRESS_MEM0,1,15,0.2552781109698117,0.1004936620593071
1042,SUPPRESS_MEM0,2,14,0.2365040080621838,0.0712431818246841
1042,SUPPRESS_MEM0,3,16,0.2153669011313468,0.0175813026726245
2042,SUPPRESS_MEM0,0,1,0.225047708954662,0.0329589694738388
2042,SUPPRESS_MEM0,1,16,0.250391146633774,0.0875837504863739
2042,SUPPRESS_MEM0,2,14,0.2468424311373382,0.0618234053254127
2042,SUPPRESS_MEM0,3,15,0.2263058894313871,0.0180848035961389
3042,SUPPRESS_MEM0,0,1,0.2256187857128679,0.0314819104969501
3042,SUPPRESS_MEM0,1,13,0.2279416543897241,0.0446164794266223
3042,SUPPRESS_MEM0,2,16,0.2430701060220599,0.0675526037812233
3042,SUPPRESS_MEM0,3,15,0.2190497547853738,0.0160894338041543
4042,SUPPRESS_MEM0,0,2,0.2342120115645229,0.046610802412033
4042,SUPPRESS_MEM0,1,13,0.2450291041750461,0.0885590091347694
4042,SUPPRESS_MEM0,2,13,0.2420518565922975,0.0531473830342292
4042,SUPPRESS_MEM0,3,17,0.225317798089236,0.0191906448453664
5042,SUPPRESS_MEM0,0,0,0.2286825696937739,0.0279461909085512
5042,SUPPRESS_MEM0,1,21,0.2851818085182458,0.1052094921469688
5042,SUPPRESS_MEM0,2,13,0.2563466625288129,0.0728649199008941
5042,SUPPRESS_MEM0,3,12,0.2312254111748188,0.019359678030014
6042,SUPPRESS_MEM0,0,2,0.2202947435434907,0.0334967598319053
6042,SUPPRESS_MEM0,1,16,0.2387804952450096,0.0679312199354171
6042,SUPPRESS_MEM0,2,21,0.2605373542755842,0.0909486562013626
6042,SUPPRESS_MEM0,3,7,0.2228932343423366,0.0177210662513971
7042,SUPPRESS_MEM0,0,1,0.2099679373204708,0.0288160182535648
7042,SUPPRESS_MEM0,1,19,0.2405866391491145,0.0917810052633285
7042,SUPPRESS_MEM0,2,14,0.2441097106784582,0.0762641355395317
7042,SUPPRESS_MEM0,3,11,0.2126777628436684,0.0205591730773448
8042,SUPPRESS_MEM0,0,2,0.2381661154795438,0.0376382693648338
8042,SUPPRESS_MEM0,1,15,0.2639566883444786,0.1005970388650894
8042,SUPPRESS_MEM0,2,13,0.2653261285740882,0.0877299681305885
8042,SUPPRESS_MEM0,3,15,0.2278128494508564,0.0166316144168376
9042,SUPPRESS_MEM0,0,1,0.2079796278849244,0.0368956327438354
9042,SUPPRESS_MEM0,1,10,0.2306703894864767,0.0586036741733551
9042,SUPPRESS_MEM0,2,19,0.2430579848587513,0.0848111137747764
9042,SUPPRESS_MEM0,3,15,0.2134492003824561,0.0198285821825265
10042,SUPPRESS_MEM0,0,0,0.2259829426184296,0.0301536750048398
10042,SUPPRESS_MEM0,1,16,0.255616785492748,0.0818206295371055
10042,SUPPRESS_MEM0,2,15,0.2501949463039636,0.0716365501284599
10042,SUPPRESS_MEM0,3,15,0.232159225968644,0.0173812750726938
11042,SUPPRESS_MEM0,0,2,0.2225753276143223,0.0313643850386142
11042,SUPPRESS_MEM0,1,14,0.2465948988683521,0.0786851420998573
11042,SUPPRESS_MEM0,2,12,0.2443323507905006,0.0631226748228073
11042,SUPPRESS_MEM0,3,17,0.2239909032359719,0.0170105751603841
12042,SUPPRESS_MEM0,0,0,0.2198111624456942,0.0283937808126211
12042,SUPPRESS_MEM0,1,15,0.2529648458585143,0.0846463218331337
12042,SUPPRESS_MEM0,2,12,0.2421641275286674,0.0724009349942207
12042,SUPPRESS_MEM0,3,18,0.2193086973857134,0.0183411855250597
13042,SUPPRESS_MEM0,0,1,0.2206639654468745,0.0349035151302814
13042,SUPPRESS_MEM0,1,12,0.2311485707759857,0.0602923519909381
13042,SUPPRESS_MEM0,2,12,0.2346984648611396,0.0515690669417381
13042,SUPPRESS_MEM0,3,20,0.2197313578799367,0.0200088731944561
14042,SUPPRESS_MEM0,0,1,0.2226508215535432,0.0319997742772102
14042,SUPPRESS_MEM0,1,9,0.2395328579004854,0.0656480565667152
14042,SUPPRESS_MEM0,2,19,0.2624463804531842,0.0852102190256118
14042,SUPPRESS_MEM0,3,16,0.223851968999952,0.0170497875660657
15042,SUPPRESS_MEM0,0,0,0.2206641531083732,0.0312702991068363
15042,SUPPRESS_MEM0,1,19,0.2647067480720579,0.1074126809835434
15042,SUPPRESS_MEM0,2,9,0.2434898796491325,0.0595421977341175
15042,SUPPRESS_MEM0,3,17,0.2186573308426886,0.0184961184859275
16042,SUPPRESS_MEM0,0,0,0.2239912282675504,0.0271025914698839
