condition,delta_dai,delta_rs,delta_ret,cohens_d,p,sig,full_dai,abl_dai
ABLATE_M1,-0.005693616652863276,0.015963385502497374,-0.0010649901232682168,0.4725488705116641,0.5983232814737088,n.s.,0.9506250588316529,0.9449314421787897
ABLATE_M2,-0.0010941530563838286,0.012530485788981138,-0.0014877221547067165,0.09693389825918551,0.913079012337433,n.s.,0.9506250588316529,0.9495309057752691
ABLATE_M5,-0.020672051094396404,0.015694121519724546,0.001653924467973411,0.6039508612648741,0.5257136498694409,n.s.,0.9506250588316529,0.9299530077372565
ABLATE_M7,-0.0011274969490132625,0.019813080628712954,0.005895581581474574,0.08459540996500785,0.9225609990325836,n.s.,0.9506250588316529,0.9494975618826397
ABLATE_M10,-0.004252250757168841,0.011310875415802002,-0.0022374160665397658,0.34576463326106277,0.6960930911068743,n.s.,0.9506250588316529,0.9463728080744841
