seed,condition,Wcc,Wuc,Wuu,S1,retention_mean,retrieval_mean,replay_events
42,CONTROL,0.09025757014751434,0.03607362508773804,0.017787672579288483,0.054183945059776306,0.3057665566448122,0.043750000000000004,45
42,DESTROY_WUC,0.09025757014751434,0.0,0.017787672579288483,0.09025757014751434,0.29684974992414936,0.037500000000000006,45
42,DESTROY_WUU,0.09025757014751434,0.03607362508773804,0.0,0.054183945059776306,0.3069802431855351,0.03125,45
42,DESTROY_WUC_WUU,0.09025757014751434,0.0,0.0,0.09025757014751434,0.29900444083614275,0.03125,45
42,DESTROY_ALL_NON_CORE,0.09025757014751434,0.0,0.0,0.09025757014751434,0.29600213025696576,0.0375,45
42,DESTROY_ALL,0.0,0.0,0.0,0.0,0.27684854716062546,0.05625000000000001,45
1042,CONTROL,0.06361368298530579,0.022434161975979805,0.008510801941156387,0.04117952100932598,0.2811212114756927,0.0375,46
1042,DESTROY_WUC,0.06361368298530579,0.0,0.008510801941156387,0.06361368298530579,0.27806379849789664,0.03125,46
1042,DESTROY_WUU,0.06361368298530579,0.022434161975979805,0.0,0.04117952100932598,0.2845626333146356,0.049999999999999996,46
1042,DESTROY_WUC_WUU,0.06361368298530579,0.0,0.0,0.06361368298530579,0.27667436347110197,0.00625,46
1042,DESTROY_ALL_NON_CORE,0.06361368298530579,0.0,0.0,0.06361368298530579,0.2768589271581732,0.05,46
1042,DESTROY_ALL,0.0,0.0,0.0,0.0,0.2624387872638181,0.025,46
2042,CONTROL,0.06258402019739151,0.01972891390323639,0.008930103853344917,0.04285510629415512,0.28520973352715373,0.037500000000000006,46
2042,DESTROY_WUC,0.06258402019739151,0.0,0.008930103853344917,0.06258402019739151,0.2800664746318944,0.06249999999999999,46
2042,DESTROY_WUU,0.06258402019739151,0.01972891390323639,0.0,0.04285510629415512,0.2856065785163082,0.04375,46
2042,DESTROY_WUC_WUU,0.06258402019739151,0.0,0.0,0.06258402019739151,0.2794036872801371,0.03125,46
2042,DESTROY_ALL_NON_CORE,0.06258402019739151,0.0,0.0,0.06258402019739151,0.28243602492148057,0.04375,46
2042,DESTROY_ALL,0.0,0.0,0.0,0.0,0.2666654724162072,0.04375,46
