param,value,seed,condition,time_sec,mean_retention,M0_retention,M1_retention,M2_retention,M3_retention,ok
GAMMA,0.8,1042,FULL,527.2461824417114,0.6540714572183788,0.7246063780039549,0.6627136990427971,0.6615868601948023,0.5673788916319609,True
GAMMA,0.8,1042,NO_REPLAY,537.0724289417267,0.04226744337938726,0.0389160611666739,0.04507129127159715,0.043819493148475885,0.04126292793080211,True
GAMMA,0.8,2042,FULL,586.8910639286041,0.385464042192325,0.43179205898195505,0.40339564625173807,0.37131150532513857,0.3353569582104683,True
GAMMA,0.8,2042,NO_REPLAY,542.3981115818024,0.04333407542435452,0.04098434676416218,0.037233283277601004,0.05126853520050645,0.04385013645514846,True
TAU_SLOW,1000.0,42,FULL,484.65146040916443,0.0,,,,,True
TAU_SLOW,1000.0,42,NO_REPLAY,489.01758575439453,0.06261413975153118,0.06123514985665679,0.05835616448894143,0.06810445990413427,0.06276078475639224,True
TAU_SLOW,1000.0,1042,FULL,517.7379913330078,0.34443601639941335,0.4233739338815212,0.344277435913682,0.30891673266887665,0.30117596313357353,True
TAU_SLOW,1000.0,1042,NO_REPLAY,497.6634373664856,0.050545801292173564,0.04442368820309639,0.04984425473958254,0.05736645217984915,0.05054881004616618,True
TAU_SLOW,1000.0,2042,FULL,496.2786328792572,0.3109670190606266,0.351430575363338,0.3187466040253639,0.2984065180644393,0.2752843787893653,True
TAU_SLOW,1000.0,2042,NO_REPLAY,485.8987169265747,0.051319257356226444,0.0469950744882226,0.04331018030643463,0.0625381376594305,0.05243363697081804,True
TAU_SLOW,2000.0,42,FULL,502.2940320968628,0.3353965952992439,0.36287931725382805,0.34766764752566814,0.34467917680740356,0.28636023961007595,True
TAU_SLOW,2000.0,42,NO_REPLAY,488.012953042984,0.05938134645111859,0.05817208904772997,0.05490148114040494,0.06471908604726195,0.05973272956907749,True
TAU_SLOW,2000.0,1042,FULL,497.0192680358887,0.3129211177583784,0.36015303153544664,0.31920168828219175,0.29653983004391193,0.2757899211719632,True
TAU_SLOW,2000.0,1042,NO_REPLAY,484.60485577583313,0.0474596677813679,0.041305700317025185,0.04669930273666978,0.054034439381211996,0.04779922869056463,True
TAU_SLOW,2000.0,2042,FULL,499.7078216075897,0.2930580417159945,0.3339623985812068,0.299683203920722,0.27968872990459204,0.25889783445745707,True
TAU_SLOW,2000.0,2042,NO_REPLAY,482.3500897884369,0.04851770680397749,0.043710820376873016,0.040238368324935436,0.0596937476657331,0.050427890848368406,True
TAU_SLOW,3000.0,42,FULL,522.4285798072815,0.32603105064481497,0.3612212799489498,0.35011991672217846,0.316209782846272,0.2765732230618596,True
TAU_SLOW,3000.0,42,NO_REPLAY,483.0390875339508,0.05292346538044512,0.05318866390734911,0.04993410687893629,0.05570391332730651,0.05286717740818858,True
TAU_SLOW,3000.0,1042,FULL,504.5902373790741,0.2899221940897405,0.3191510811448097,0.29330542869865894,0.2952294098213315,0.2520028566941619,True
TAU_SLOW,3000.0,1042,NO_REPLAY,486.13882064819336,0.044946255278773606,0.03884394792839885,0.044420087710022926,0.05121870571747422,0.04530227975919843,True
TAU_SLOW,3000.0,2042,FULL,502.51885080337524,0.3078849050216377,0.34015930723398924,0.3116504605859518,0.317053415812552,0.2626764364540577,True
TAU_SLOW,3000.0,2042,NO_REPLAY,488.70707058906555,0.04595165315549821,0.04104003682732582,0.037682421039789915,0.05709858611226082,0.04798556864261627,True
TAU_SLOW,6000.0,42,FULL,503.899044752121,0.3135079285129905,0.3494395026937127,0.3318547001108527,0.3051388021558523,0.26759870909154415,True
TAU_SLOW,6000.0,42,NO_REPLAY,484.91808676719666,0.05027786723803729,0.04970250278711319,0.046635912265628576,0.0534467245452106,0.05132632935419679,True
TAU_SLOW,6000.0,1042,FULL,505.54632902145386,0.28412402886897326,0.31287672650069,0.29683435056358576,0.28248062636703253,0.24430441204458475,True
TAU_SLOW,6000.0,1042,NO_REPLAY,482.060693025589,0.04123084025923163,0.03507699025794864,0.04083269461989403,0.047274024691432714,0.04173965146765113,True
