N,seed,condition,time_sec,mem_peak_MB,available_RAM_GB,mean_retention,M0_retention,M1_retention,M2_retention,M3_retention,ok,error
1000,42,FULL,531.4703152179718,34.635776,0.496955392,0.3174600400961935,0.3511573486030102,0.3328765640035271,0.3178452709689736,0.2679609768092632,True,
1000,42,NO_REPLAY,611.3600080013275,20.074496,0.457224192,0.0529234653804451,0.0531886639073491,0.0499341068789362,0.0557039133273065,0.0528671774081885,True,
1000,1042,FULL,554.6610388755798,59.57632,0.514666496,0.2981674522161484,0.3248251723125577,0.3119674241170287,0.2972932858392596,0.2585839265957474,True,
1000,1042,NO_REPLAY,518.413850069046,57.79456,0.517451776,0.0449462552787736,0.0388439479283988,0.0444200877100229,0.0512187057174742,0.0453022797591984,True,
1000,2042,FULL,519.2739317417145,63.762432,0.702976,0.2840946801006794,0.331153011880815,0.2773086838424206,0.2781896153464913,0.2497274093329906,True,
1000,2042,NO_REPLAY,492.99382877349854,177.188864,0.631504896,0.0459516531554982,0.0410400368273258,0.0376824210397899,0.0570985861122608,0.0479855686426162,True,
1500,42,FULL,1112.6839442253113,44.859392,0.784748544,0.28118366934359074,0.3095591254532337,0.2860458642244339,0.2772642523050308,0.2518654353916645,True,
1500,42,NO_REPLAY,976.9836504459381,67.969024,0.675876864,0.02967237774282694,0.0222268458455801,0.022099586203694344,0.04153812117874622,0.032824957743287086,True,
1500,1042,FULL,1040.9452180862427,49.33632,0.667840512,0.29971173498779535,0.34874796122312546,0.3044559508562088,0.2964487783610821,0.24919424951076508,True,
1500,1042,NO_REPLAY,1304.7359132766724,22.50752,0.417632256,0.0450510261580348,0.04002194106578827,0.037634102627635,0.05587286129593849,0.04667519964277744,True,
1500,2042,NO_REPLAY,1232.0340642929077,48.570368,0.438767616,0.028426704462617636,0.021370965987443924,0.023080570623278618,0.037814583629369736,0.031440697610378265,True,
2000,42,NO_REPLAY,1568.0267055034637,131.846144,0.463224832,0.032277905847877264,0.026412690058350563,0.029494965448975563,0.04311464726924896,0.030089320614933968,True,
