seed,condition,M0_retention,M0_replay,M0_wslow,M0_W_encode,M1_retention,M1_replay,M1_wslow,M1_W_encode,M2_retention,M2_replay,M2_wslow,M2_W_encode,M3_retention,M3_replay,M3_wslow,M3_W_encode
42,NATURAL,0.33029567962512374,0,0.1916651874780655,0.033244673162698746,0.3011199194006622,0,0.12644673883914948,0.05317406728863716,0.290959760081023,0,0.10826405882835388,0.05536053329706192,0.24458654457703233,0,0.019288169220089912,0.0432267002761364
1042,NATURAL,0.30898252269253135,0,0.19135288894176483,0.021506929770112038,0.2788204215466976,0,0.11641865968704224,0.04213457554578781,0.274012217996642,0,0.117899589240551,0.04379164054989815,0.22686855331994593,0,0.017694130539894104,0.03663168102502823
2042,NATURAL,0.3069009445607662,0,0.18489791452884674,0.020760660991072655,0.2654425904620439,0,0.11955568194389343,0.042951446026563644,0.2486857909243554,0,0.06959157437086105,0.04570412635803223,0.22475301078520715,0,0.018400270491838455,0.03627790883183479
3042,NATURAL,0.31739349430426955,0,0.18824510276317596,0.02188059873878956,0.28751010610722005,0,0.13087764382362366,0.04390864819288254,0.27693072822876275,0,0.10913466662168503,0.04430871829390526,0.22988658002577722,0,0.015859777107834816,0.03698509559035301
4042,NATURAL,0.3307220551650971,0,0.18396233022212982,0.01964382827281952,0.2873280360363424,0,0.1289128065109253,0.04319819435477257,0.2796893047634512,0,0.09864231199026108,0.04457316920161247,0.2432673538569361,0,0.019130900502204895,0.037742484360933304
5042,NATURAL,0.33695734944194555,0,0.19357101619243622,0.022269591689109802,0.30091527639888227,0,0.1325315237045288,0.043303776532411575,0.27992570330388844,0,0.08821763843297958,0.04716310650110245,0.25489629013463855,0,0.01957813836634159,0.03778719902038574
6042,NATURAL,0.33917876426130533,0,0.1869797557592392,0.021685227751731873,0.3170862137340009,0,0.12535887956619263,0.044429607689380646,0.29424060974270105,0,0.09751483798027039,0.043289195746183395,0.24583473335951567,0,0.01820342242717743,0.03691954165697098
7042,NATURAL,0.30541494977660477,0,0.1788555532693863,0.020109739154577255,0.28625860274769366,0,0.1419173628091812,0.04458784684538841,0.2608422508928925,0,0.08360017836093903,0.04342012479901314,0.22463928465731442,0,0.02085660956799984,0.03775739297270775
8042,NATURAL,0.32675514719448984,0,0.1800915002822876,0.020529447123408318,0.2861104174517095,0,0.1348295509815216,0.045407410711050034,0.27300660870969296,0,0.10605302453041077,0.045497093349695206,0.23196287942118943,0,0.016162952408194542,0.035785332322120667
9042,NATURAL,0.3171463795006275,0,0.1844147890806198,0.021597370505332947,0.3013567216694355,0,0.12837500870227814,0.042534057050943375,0.27175827720202506,0,0.08861292153596878,0.0464957132935524,0.23886849032714963,0,0.019764158874750137,0.03726629540324211
