seed,condition,memory_id,replay_count,retention,w_slow_contrib
1042,BOOST_MEM3,1,14,0.2395888939499855,0.07326760143041611
1042,BOOST_MEM3,2,5,0.21712359972298145,0.038027938455343246
1042,BOOST_MEM3,3,19,0.2136452968697995,0.017717763781547546
2042,BOOST_MEM3,0,11,0.24451708234846592,0.07666713744401932
2042,BOOST_MEM3,1,8,0.23707938054576516,0.06463050097227097
2042,BOOST_MEM3,2,11,0.24697474110871553,0.06982696801424026
2042,BOOST_MEM3,3,15,0.22321733878925443,0.018435483798384666
3042,BOOST_MEM3,0,9,0.24449592852033675,0.07269180566072464
3042,BOOST_MEM3,1,9,0.2307240676600486,0.05277813971042633
3042,BOOST_MEM3,2,11,0.2450379328802228,0.07901085168123245
3042,BOOST_MEM3,3,16,0.2200809339992702,0.01547944638878107
4042,BOOST_MEM3,0,12,0.24793324479833245,0.07127025723457336
4042,BOOST_MEM3,1,5,0.2237186839338392,0.03714767098426819
4042,BOOST_MEM3,2,5,0.23799285921268165,0.04354488477110863
4042,BOOST_MEM3,3,23,0.22983201197348535,0.01908312551677227
5042,BOOST_MEM3,0,10,0.2440305515192449,0.07530179619789124
5042,BOOST_MEM3,1,7,0.23371254024095833,0.043176766484975815
5042,BOOST_MEM3,2,8,0.22884126682765782,0.03709925338625908
5042,BOOST_MEM3,3,20,0.22581308358348906,0.019403519108891487
6042,BOOST_MEM3,0,8,0.24723887676373124,0.08403277397155762
6042,BOOST_MEM3,1,12,0.23327182652428746,0.04996959865093231
6042,BOOST_MEM3,2,8,0.23241744749248028,0.031740881502628326
6042,BOOST_MEM3,3,18,0.2274151591118425,0.017397748306393623
7042,BOOST_MEM3,0,7,0.22026640712283552,0.04137885197997093
7042,BOOST_MEM3,1,9,0.2286484397482127,0.05716913565993309
7042,BOOST_MEM3,2,13,0.24316837452352047,0.06039078161120415
7042,BOOST_MEM3,3,16,0.21945690922439098,0.020313968881964684
8042,BOOST_MEM3,0,8,0.24649176583625376,0.05396468937397003
8042,BOOST_MEM3,1,10,0.24851821619085968,0.07606182992458344
8042,BOOST_MEM3,2,8,0.2508406813722104,0.05959770083427429
8042,BOOST_MEM3,3,19,0.22805106872692704,0.01636393740773201
9042,BOOST_MEM3,0,10,0.23049457487650216,0.0799529179930687
9042,BOOST_MEM3,1,13,0.22912816680036485,0.05242431163787842
9042,BOOST_MEM3,2,6,0.2185114820022136,0.034384869039058685
